count,date,title,description,org_link,link
1,2024-02-15 09:38:00,금시세(금값) 15일 0.066%↑,"수출은 2022년보다 350억달러로 1.2% 증가했고, 수입은 1427억달러로 3.6% <b>감소</b>했다. 이로 인해 상품 수지 적자는... 미국 통계국은 1월에 35만 3천 개의 새로운 <b>일자리</b> 창출을 발표하며 경제의 인플레이션 우려를 증폭시켰다.... ",https://www.bntnews.co.kr/article/view/bnt202402150014,https://www.bntnews.co.kr/article/view/bnt202402150014
2,2024-02-15 09:30:00,[단독]'학생수 위기' 종로 효제초교 안에 아파트 짓는다…'주교복합' 첫 모델,"급격한 학생수 <b>감소</b>를 겪는 학교를 개편하고 남은 부지에 주거·업무 시설을 공급하는 방식으로, '적정 규모... 젊은 층의 인구 유출 방지는 물론 주거와 <b>일자리</b> 창출까지 효과가 기대돼서다. 조희연 서울시 교육감 역시... ",https://view.asiae.co.kr/article/2024021508491208916,https://n.news.naver.com/mnews/article/277/0005380032?sid=102
3,2024-02-15 09:24:00,"모건스탠리, 자산관리 부서에서 수백명 감원",직책과 <b>일자리</b>를 없애고 있다. 은행의 자산관리 부서는 총 약 5조 달러의 자산을 관리하며 현재 회사 전체... 모건스탠리는 지난해 말 기준으로 직원 수가 약 8만 명을 기록했는데 이는 1년 전의 약 8만2400명에서 <b>감소</b>한... ,http://www.g-enews.com/ko-kr/news/article/news_all/2024021509103337023bc914ac71_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/2024021509103337023bc914ac71_1/article.html
4,2024-02-15 09:20:00,"“동방오거리에 도시철도역 신설”…장예찬 예비후보, 3대 공약 발표",교통체증 <b>감소</b> 효과도 기대할 수 있다”고 했다. 새롭게 지어지는 동방오거리역은 민락골목시장과는 200m... 새로운 <b>일자리</b>를 창출한다는 계획이다. 이와 함께 600명 규모의 수영고등학교(가칭) 신설도 약속했다. 장... ,http://www.inews24.com/view/1686956,https://n.news.naver.com/mnews/article/031/0000812743?sid=102
5,2024-02-15 09:14:00,"올해 경남도정, 도민들에게 한 발 더 다가간다","지난 2022년 5월 13일 개소한 경남 민원콜센터는 <b>일자리</b>, 청년, 보건, 복지 등 도정 전반에 대해 지난해 총 4만... 상담콜센터는 하루 평균 150여 건의 여권 관련 상담을 추진해 현장에서 대기시간 <b>감소</b> 등 도민의 불편을... ",https://ilyo.co.kr/?ac=article_view&entry_id=467353,https://ilyo.co.kr/?ac=article_view&entry_id=467353
6,2024-02-15 09:03:00,"윤석열 정부 초라한 ‘경제 성적표’, 총선 표심 변수 될까",수출 <b>감소</b>와 무역수지 악화는 심각한 수준이다. 우리와 가치 체계가 다른 중국 시장 정도는 희생할 수 있다는 식으로 현 정부가 경제적 실리를 무시한 단순 논리는 재고할 때가 됐다. 3. <b>일자리</b>와 임금 개별 국민... ,https://www.hani.co.kr/arti/economy/economy_general/1128423.html,https://n.news.naver.com/mnews/article/028/0002676947?sid=101
7,2024-02-15 07:46:00,"시스코, 올해 인력 5% 해고…AI·소프트웨어 등 고성장 사업 집중","한편 마이크로소프트(MS)와 스냅, 이베이, 페이팔 등 미국 빅테크 기업은 올해만 3만4000개에 달하는 <b>일자리</b>를 없앴다. 일반적으로 빅테크 기업은 연간 사업 계획을 수립하는 연초에 구조조정을 진행한다. 그러나 올해... ",http://www.edaily.co.kr/news/newspath.asp?newsid=01380886638790848,https://n.news.naver.com/mnews/article/018/0005673652?sid=101
8,2024-02-15 06:30:00,"달랑 2명 접수, 지방 아파트는 ‘미분양' 늪?…“공주·포항 그래도 될 곳은 ...",인구 <b>감소</b>에 경제 상황도 녹록지 않으며 지방 분양 시장이 휘청일 수 있다는 우려가 크다. 다만 <b>일자리</b>나 새 아파트 수요 등이 뒷받침되면서 청약통장이 몰려 수도권 비인기 지역보다 더 선전한 곳도 있다. 지난 6일... ,https://www.news1.kr/articles/5320668,https://n.news.naver.com/mnews/article/421/0007351830?sid=101
9,2024-02-15 06:06:00,"“AI신인류, 국가간 격차 확대할 것…통제 필요하지만 공존법 있어”","AI를 활용하지 못하는 국가는 <b>일자리</b>가 크게 <b>감소</b>할 것”이라고 내다봤다. 이어 “AI를 효과적으로 개발하거나 서비스에 적용하는 능력이 뛰어난 사람들은 상위 계층으로 올라가고, 그렇지 못한 사람들은 하위 계층으로... ",http://www.edaily.co.kr/news/newspath.asp?newsid=01302166638790848,https://n.news.naver.com/mnews/article/018/0005673626?sid=105
10,2024-02-15 05:54:00,인플레이션감축법 폐기 선언에… 전기차 산업 ‘초비상’ [심층기획-트럼프 리...,"수출 <b>감소</b> 등의 피해를 안길 수 있다. 이에 따라 산업계에선 변화 가능한 한·미 교역·통상 시나리오에 대한... IRA 법안 수혜지역이 조지아, 텍사스주 등 공화당 우세지역이 많아 <b>일자리</b> 창출 효과를 무시하고 일방적으로... ",http://www.segye.com/newsView/20240214515573?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003904402?sid=101
11,2024-02-15 04:04:00,[저출산 연속기고 ②] 왜 초저출산 국가가 됐나,"이철희 서울대 교수 논문(2022년)에 따르면 지난 10년간(2012~2021년) 출생아 <b>감소</b>에 가장 크게 영향을 미친... 첫째로 취업을 하고 소득이 있어야 하는데, 청년이 선호하는 대기업·공공부문 정규직 등 안정적 <b>일자리</b>는... ",https://www.kmib.co.kr/article/view.asp?arcid=0924343935&code=11171314&cp=nv,https://n.news.naver.com/mnews/article/005/0001674091?sid=110
12,2024-02-15 00:44:00,[현장칼럼] 기로에선 창원특례시와 함안군 통합,태어나는 사람은 적은 데다가 양질의 <b>일자리</b>와 문화가 있는 수도권으로 젊은이들이 떠나면서 겨우 만든... 인구<b>감소</b> 및 도시화 추세로 인해 군단위는 더욱 인구가 줄면서 10년 내에 행정통합 논의가 불붙을 것이다. 통합에... ,http://www.gnnews.co.kr/news/articleView.html?idxno=545834,http://www.gnnews.co.kr/news/articleView.html?idxno=545834
13,2024-02-15 00:40:00,"&quot;총선 후보, 기후위기 대응 공약 내놔야&quot;","이에 따라 관련 <b>일자리</b>가 40％까지 <b>감소</b>하고 발전소 인근 지역 소득 수준이 90％ 하락할 것으로 예상되지만, 에너지 전환을 위한 대책이 없다고 이 단체는 설명이다. 비상행동은 또 &quot;EU(유럽연합)가 철강 수입품의 탄소... ",http://www.gnnews.co.kr/news/articleView.html?idxno=545897,http://www.gnnews.co.kr/news/articleView.html?idxno=545897
