count,date,title,description,org_link,link
1,2024-02-15 13:02:00,캐나다 대형 에너지 파이프라인 운영기업 공격한 ALPHV/BlackCat 랜섬웨어 그...,"최근 사이버 <b>보안</b> 사고에서 캐나다 대형 석유 및 가스 파이프라인 운영사인 Trans-Northern Pipelines(이하... 정확한 침해 규모는 아직 조사 중이지만, ALPHV/BlackCat 랜섬웨어 조직은 회사 네트워크에서 190GB의 <b>데이터</b>... ",https://www.dailysecu.com/news/articleView.html?idxno=153562,https://www.dailysecu.com/news/articleView.html?idxno=153562
2,2024-02-15 12:53:00,"'중립국'스위스, 안보 위협에 국방비 확대…&quot;2035년까지 30조원 마련&quot;","군 전용 <b>데이터</b> 센터 건설과 사이버 <b>보안</b> 확충에는 약 1억9200만달러(약 2560억원)가 들어갈 예정이다. 암헤르트 대통령은 &quot;유럽 대륙과 중동의 전쟁, 세계 무력 분쟁 등 현재의 불안정한 안보를 고려하면 분명히... ",https://www.news1.kr/articles/5321404,https://n.news.naver.com/mnews/article/421/0007352929?sid=104
3,2024-02-15 12:44:00,"효성인포메이션시스템-에이플랫폼, 생성형 AI 워크로드 혁신 협력 강화","위한 <b>데이터</b> 레이크하우스 전략' 주제 발표를 진행한다. 이 행사에서는 벡터 DB로서의 혁신적 기능을 출시한 '싱글스토어 프로 맥스' 소개를 비롯, 싱글스토어DB의 탁월한 <b>보안</b> 기능과 국제 인증, 포스코DX 고객... ",https://www.techm.kr/news/articleView.html?idxno=120355,https://www.techm.kr/news/articleView.html?idxno=120355
4,2024-02-15 11:54:00,"델 테크놀로지스, &quot;올해 국내 기업 63%, AI 업무에 '워크스테이션' 도입&quot;",학습 <b>데이터</b> 준비 및 가공 등의 작업에 고성능 컴퓨팅 파워가 필요하기 때문이다. 델 테크놀로지스 김경진... 확장성과 <b>보안</b> 역량을 갖춘 제품군으로 기업들이 워크스테이션을 통해 비즈니스 가치를 극대화할 수 있도록... ,https://www.discoverynews.kr/news/articleView.html?idxno=1039812,https://www.discoverynews.kr/news/articleView.html?idxno=1039812
5,2024-02-15 11:54:00,"&quot;기업 10곳 중 6곳, AI 워크로드 위해 워크스테이션 도입 계획&quot;","6%), '학습 <b>데이터</b> 준비 및 가공'(25.0%) 순으로 나타났다. 이는 지난해 'AI 모델 트레이닝'(4.3%)과 '시뮬레이션... 확장성과 <b>보안</b> 역량을 갖춘 제품군으로 델테크놀로지스는 기업들이 워크스테이션을 통해 비즈니스... ",http://www.it-b.co.kr/news/articleView.html?idxno=73720,http://www.it-b.co.kr/news/articleView.html?idxno=73720
6,2024-02-15 11:52:00,"샌즈랩, 생성형 AI 전문업체와 협력…글로벌 기술 개발 주력","센즈랩 관계자는 “샌즈랩은 지난 21년부터 한국인터넷진흥원 <b>데이터</b>셋 구축 사업을 수행, 다년간 정부와 공공 기관에 높은 정확성과 일관성을 유지한 <b>데이터</b>셋을 제공해왔다”며 “지금까지 지능형 사이버<b>보안</b> 대응... ",http://www.segyebiz.com/newsView/20240215508252?OutUrl=naver,http://www.segyebiz.com/newsView/20240215508252?OutUrl=naver
7,2024-02-15 11:50:00,"[투데이 이슈] 불법도박 사이트부터 정부 기관 사칭 등 북한 사이버 공격, 대...","개인정보를 <b>데이터</b>베이스로 만들어 판매를 시도한 것으로 밝혀졌다. 끊임없이 이어지는 북한의 사이버 공격... 메일에는 악성코드가 심어진 파일이 첨부하고, <b>보안</b>메일로 위장해 '<b>보안</b>메일보기' 클릭을 유도한다. 버튼을... ",http://www.newsworker.co.kr/news/articleView.html?idxno=319226,http://www.newsworker.co.kr/news/articleView.html?idxno=319226
8,2024-02-15 11:39:00,"샌즈랩, 인공지능 사이버 <b>보안</b> 전문가 'SANDY' 개발","능력, <b>데이터</b> 분석 자동화 등의 기능을 갖춰 AI <b>보안</b> 산업을 혁신적으로 이끌어 갈 것”이라고 말했다. 한편, 샌즈랩은 최근 생성형 AI 기반 사이버 위협 인텔리전스 서비스 CTXforGPT 를 GPT 스토어에 입점시킨 바 있으며... ",https://www.hankyung.com/article/202402155608O,https://n.news.naver.com/mnews/article/015/0004948682?sid=101
9,2024-02-15 11:38:00,"샌즈랩, 생성형 AI 기반 구축형 사이버 <b>보안</b> 모델 ‘SANDY ’ 개발",샌즈랩 관계자는 “인공지능 사이버 <b>보안</b>전문가 SANDY는 페타바이트 크기에 달하는 방대한 빅<b>데이터</b>와 정부 및 공공에 공급할 수 있을 만큼 높은 정확성과 일관성을 유지한 품질 높은 정보를 기반으로 학습되어 AI... ,https://www.donga.com/news/It/article/all/20240215/123530644/1,https://n.news.naver.com/mnews/article/020/0003548142?sid=105
10,2024-02-15 11:36:00,"호서대, 'AI 기술·사이버 <b>보안</b>' 산학협력 모색",네트워크 <b>보안</b>에서 AI를 활용한 이상트래픽 탐지 방향에 대해 소개했다. 산업계에서는 업계 관점에서 실질적인 제로트러스트 접근 방안과 <b>데이터</b> 융합을 통해 기술의 사일로를 해결할 수 있는 XDR 기술의... ,http://www.sisacast.kr/news/articleView.html?idxno=51043,http://www.sisacast.kr/news/articleView.html?idxno=51043
11,2024-02-15 11:32:00,"바이낸스 보고서, 발렌타인데이 맞아 온라인 데이트 사기 증가","바이낸스 <b>보안</b> 부서에서 강조한 온라인 데이트 사기의 증가는 온라인에서 사랑을 찾는 개인이 직면한... 현금은 여전히 글로벌 자금 세탁의 주요 수단이지만, 2023년 바이낸스의 내부 <b>데이터</b>에 따르면 연애 사기로 인한... ",https://www.tokenpost.kr/article-164725,https://www.tokenpost.kr/article-164725
12,2024-02-15 11:30:00,"'인재 선점' 나선 삼성전자, 경력직 대규모 채용 공고","영상디스플레이(VD) 사업부는 2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련... 모바일경험(MX) 사업부는 <b>보안</b> 전략 수립 및 관련 솔루션 개발 직무를 수행할 경력사원을 채용할 계획이다.... ",https://www.cwn.kr/news/articleView.html?idxno=26646,https://www.cwn.kr/news/articleView.html?idxno=26646
13,2024-02-15 11:26:00,"에이모, ‘AI바우처 및 <b>데이터</b>바우처 지원사업’ 공급기업 6년 연속 선정","실제 에이모는 2019년부터 자율주행, <b>보안</b>, 관제, 통신, 미디어, 패션 등 누적 30여개 기업에게 고품질의 <b>데이터</b>를 제공하고 다양한 도메인에 최적화된 <b>데이터</b> 가공 작업을 성공적으로 지원해 수요기업의 약 30... ",https://www.venturesquare.net/913679,https://www.venturesquare.net/913679
14,2024-02-15 11:26:00,"국내 공공종합병원 78%, 이메일 사기 및 도메인 스푸핑 공격에 노출",높은 <b>보안</b> 시스템 구축을 통해 <b>데이터</b> 유출을 사전에 방지하는 것이 중요하다&quot;고 덧붙였다. 공공종합병원 대상 DMARC 분석 결과는 다음과 같다. △78%의 병원이 DMARC 채택하지 않았으며 이메일 사기 및 도메인... ,https://www.dailysecu.com/news/articleView.html?idxno=153559,https://www.dailysecu.com/news/articleView.html?idxno=153559
15,2024-02-15 11:18:00,프루프포인트 &quot;국내 공공종합병원 78%가 이메일 사기에 매우 취약&quot;,"의료 서비스에 대한 수요가 높아지고 있는 만큼, 병원을 대상으로 한 사이버 공격의 피해 규모가 점점 커질 수 있으므로 높은 <b>보안</b> 시스템 구축을 통해 <b>데이터</b> 유출을 사전에 방지하는 것이 중요하다&quot;고 덧붙였다.",http://www.itdaily.kr/news/articleView.html?idxno=220397,http://www.itdaily.kr/news/articleView.html?idxno=220397
16,2024-02-15 11:14:00,"체크포인트, '인피니티 AI 코파일럿' 출시","인피니티 플랫폼은 △<b>데이터</b>센터, 경계(Perimeter), 지점 및 원격 사용자 포함 메시 네트워크 <b>보안</b>을 위한 하이퍼스케일 AI 기반 위협 방지를 제공하는 '체크포인트 퀀텀(Check Point Quantum)' △코드에서... ",http://www.itdaily.kr/news/articleView.html?idxno=220396,http://www.itdaily.kr/news/articleView.html?idxno=220396
17,2024-02-15 11:14:00,"&quot;의료 기기와 블록체인의 결합&quot;...대학 연구진, 신규 블록체인 시스템 개발",Akiri와 BurstIQ와 같은 프로젝트에서 볼 수 있듯이 의료 <b>데이터</b> 관리에 블록체인을 도입하는 것은 의료 산업의 <b>보안</b>과 효율성을 강화하기 위해 블록체인을 활용하는 추세가 증가하고 있음을 의미한다.,https://www.tokenpost.kr/article-164724,https://www.tokenpost.kr/article-164724
18,2024-02-15 11:12:00,"미소정보기술, 비라벨링 <b>데이터</b> 솔루션 '<b>데이터</b>스캔' 출시","문서 <b>보안</b>이 강화된 패브릭기반 멀티모달 <b>데이터</b> 플랫폼 '스마트빅(smart BIG)'을 통해 LLM, sLLM구축시 고도화된 언어처리 기술을 원스톱으로 제공한다. '<b>데이터</b>스캔'의 생성형AI분야는 일상생활과 직결되는... ",https://www.healthinnews.co.kr/news/articleView.html?idxno=44559,https://www.healthinnews.co.kr/news/articleView.html?idxno=44559
19,2024-02-15 11:12:00,"&quot;공공 종합병원, 엄격한 이메일 <b>보안</b> 갖춘 곳 없어&quot;","높은 <b>보안</b> 시스템 구축을 통해 <b>데이터</b> 유출을 사전에 방지하는 것이 중요하다&quot;고 말했다. 한편 프루프포인트는 환자, 의료진, 병원 이해관계자를 위한 이메일 <b>보안</b>수칙으로 다음을 제시했다. 모든 이메일의 유효성을... ",https://www.datanet.co.kr/news/articleView.html?idxno=191029,https://www.datanet.co.kr/news/articleView.html?idxno=191029
20,2024-02-15 11:06:00,"기업 내 ‘인공지능’ 도입 답보 상태, 40%는 여전히 ‘검토’ 단계","AI 스킬 및 전문성 부족, <b>데이터</b>의 복잡성, 윤리적 문제[<b>보안</b>뉴스 김영명 기자] 2019년부터 인공지능(AI) 도입을 검토 및 활용 중인 기업의 비율은 꾸준히 증가하며 약 81%에 달했다. 하지만 2023년 조사 결과에... ",http://www.boannews.com/media/view.asp?idx=126706&kind=,http://www.boannews.com/media/view.asp?idx=126706&kind=
